,date,device,text,location
36,2016-09-22 23:57:07,LiveJournal.com,Yahoo Reveals Massive Data Breach; Internet Fixates On Fantasy Football https://t.co/RMO0cTs6qB https://t.co/cheUFpRViu,
37,2016-09-22 23:56:49,Twitter for Android,"Yahoo confirms data breach of 500 mln users, blames 'state-sponsored actor' https://t.co/U8oIwP6phF",
38,2016-09-22 23:56:47,Twitter Web Client,"Yahoo hit in worst hack ever, 500 million accounts swiped https://t.co/i8Nq7KRwzM via @CNET",
39,2016-09-22 23:56:47,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
40,2016-09-22 23:56:47,Twitter Web Client,"""#Yahoo says 500 million accounts stolen"" in 2014. Creeps are telling us 2 years later! https://t.co/BdAgOWFuU9. I already canceled my acct!",
41,2016-09-22 23:56:45,Germany English News,Yahoo says at least 500 million user accounts hacked in massive data breach https://t.co/o67m93WMGv,
42,2016-09-22 23:56:44,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
43,2016-09-22 23:56:35,Twitter for iPhone,What to do if your Yahoo account was hacked https://t.co/LLspG1PT20 https://t.co/x5GTeG77HP,
44,2016-09-22 23:56:32,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
45,2016-09-22 23:56:31,Twitter Web Client,Massive data breach confirms your aunt is Yahoo’s only user. #Yahoo https://t.co/oT0gaF865y,
46,2016-09-22 23:56:27,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
47,2016-09-22 23:56:17,Twitter Web Client,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
48,2016-09-22 23:56:13,Twitter for Android,Yahoo confirms massive data breach.About 500 million user accounts stolen.Users encouraged to review online accounts ft suspicious activity,
49,2016-09-22 23:56:10,Facebook,"Yahoo hit in worst hack ever, 500 million accounts swiped - CNET... https://t.co/OXoNy2yYxA",
50,2016-09-22 23:56:07,Twitter for iPad,"Yahoo says at least 500 million user accounts were stolen in 2014, by what it thinks is a state-sponsored actor. https://t.co/G0krDoHEpd https://t.co/ian6rSgdPz",
51,2016-09-22 23:56:01,Twitter for Android,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
52,2016-09-22 23:55:56,Buffer,Yahoo confirms 500 million user accounts have been stolen https://t.co/pUL9VKmwHi,
53,2016-09-22 23:55:44,Twitter for Android,"Data breach at Yahoo, affecting at least half a billion users, is worst data breach ever reported in terms of users affected",
54,2016-09-22 23:55:36,Twitter for Android,"Yahoo says at least 500 million user accounts were stolen in 2014, by what it thinks is a state-sponsored actor. https://t.co/G0krDoHEpd https://t.co/ian6rSgdPz",
55,2016-09-22 23:55:34,Twitter for iPhone,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
