,date,device,text,location
39,2017-09-07 23:38:10,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
40,2017-09-07 23:36:46,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
41,2017-09-07 23:36:44,Twitter Web Client,Here's what you need to know about the Equifax cyber attack. https://t.co/cuteJVreY4,
42,2017-09-07 23:35:23,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
43,2017-09-07 23:35:08,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
44,2017-09-07 23:35:06,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
45,2017-09-07 23:34:50,Twitter for Android,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
46,2017-09-07 23:34:18,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
47,2017-09-07 23:34:10,Twitter for iPhone,Credit agency Equifax says cyber attack may have exposed personal info of 143 million Americans https://t.co/PB0h12csoJ https://t.co/RzEDdfW01U,
48,2017-09-07 23:33:47,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
49,2017-09-07 23:32:56,Twitter for Android,Equifax says it was hit by a cyber attack that may have affected about 143 million customers https://t.co/7pf1TlXWkn https://t.co/TQtRsJTgq1,
50,2017-09-07 23:32:46,Twitter for iPhone,BREAKING: Credit reporting agency Equifax reports cyber attack potentially impacting 143 million U.S. Costumers credit cards etc.,
51,2017-09-07 23:32:29,Twitter Web Client,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
52,2017-09-07 23:31:36,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
53,2017-09-07 23:31:22,Twitter Web Client,"""Criminals exploited a US website application vulnerability to gain access to certain files,"" - #equifax 

Eager to hear the attack vector",
54,2017-09-07 23:31:14,Twitter for Android,Equifax says it was hit by a cyber attack that may have affected about 143 million customers https://t.co/7pf1TlXWkn https://t.co/TQtRsJTgq1,
55,2017-09-07 23:30:59,Twitter for Android,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
56,2017-09-07 23:30:35,IFTTT,"RT TopFiveTraders ""RT StakepoolCom ""RT Milton_FMR: TransUnion -2.7% after attack on Equifax https://t.co/tIVL69sQdj #wallstreet #nyse #tra…",
57,2017-09-07 23:30:23,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack | Forbes Mobile https://t.co/Z9jlpZNIGa,
58,2017-09-07 23:30:18,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
59,2017-09-07 23:29:56,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
60,2017-09-07 23:29:56,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3JTwEJhYPk https://t.co/SEuPHeHitg,
61,2017-09-07 23:29:35,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
62,2017-09-07 23:29:22,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
63,2017-09-07 23:29:21,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
64,2017-09-07 23:29:19,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
65,2017-09-07 23:29:10,Twitter Web Client,"This Is very serious Equifax cyber attack got a ton of our personal info and we are just finding about it now, in July I had identity theft.",
66,2017-09-07 23:29:03,Twitter for iPhone,Credit bureau Equifax says 143 million Americans may have had their data stolen in a cyber attack https://t.co/bsdSJzxI2u https://t.co/F1206ly0zU,
67,2017-09-07 23:28:47,Google,Equifax says personal data of 143 million customers exposed in cyber attack https://t.co/jf1D1JvN1N,
68,2017-09-07 23:28:03,Twitter for iPad,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
69,2017-09-07 23:27:40,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
70,2017-09-07 23:26:14,IFTTT,"RT TopFiveTraders ""RT StakepoolCom ""RT Milton_FMR: TransUnion -2.7% after attack on Equifax https://t.co/cJx4ApNbN8 #wallstreet #nyse #tra…",
71,2017-09-07 23:26:07,IFTTT,"RT TopFiveTraders ""RT StakepoolCom ""RT Milton_FMR: TransUnion -2.7% after attack on Equifax https://t.co/eoe3igJ4vh #wallstreet #nyse #tra…",
72,2017-09-07 23:25:29,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
73,2017-09-07 23:25:29,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
74,2017-09-07 23:25:26,Twitter for Android,"This Is very serious Equifax cyber attack got a ton of our personal info and we are just finding about it now, in July I had identity theft.",
75,2017-09-07 23:25:22,Twitter for Android,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
76,2017-09-07 23:25:19,IFTTT,"RT StakepoolCom ""RT Milton_FMR: TransUnion -2.7% after attack on Equifax https://t.co/PdY9fYrOr3 #wallstreet #nyse #trading""",
77,2017-09-07 23:25:00,RoundTeam,TransUnion -2.7% after attack on Equifax https://t.co/g9Af8EtGZC #wallstreet #nyse #trading,
78,2017-09-07 23:24:39,Twitter for iPhone,The Equifax cyber attack ranks among the largest cybersecurity breaches in history https://t.co/3tyvQcUYj0 https://t.co/afxnseG7Nd,
79,2017-09-07 23:24:23,Twitter for iPhone,Equifax Says 143 Million Americans Potentially Impacted In Cyber Attack https://t.co/K22nWPtF50,
80,2017-09-07 23:24:22,Hootsuite,Equifax says 143 million Americans potentially impacted in cyber attack: https://t.co/avaswGXVIl https://t.co/UCjk0tqjBY,
81,2017-09-07 23:24:00,Facebook,"ALERT:  Freeze your credit lines NOW

Freezing your credit files has no impact whatsoever on your existing lines... https://t.co/vpifKjKdHa",
